functionSource,label,numeric
"e_cell_text_get_text (ECellText *cell,
                      ETableModel *model,
                      gint col,
                      gint row)
{
	ECellTextClass *class;

	g_return_val_if_fail (E_IS_CELL_TEXT (cell), NULL);

	class = E_CELL_TEXT_GET_CLASS (cell);
	if (class->get_text == NULL)
		return NULL;

	return class->get_text (cell, model, col, row);
}",CWE-476,3
"lto_create_files_from_ids (splay_tree_node node, void *data)
{
  struct lwstate *lw = (struct lwstate *)data;
  struct lto_file_decl_data *file_data = (struct lto_file_decl_data *)node->value;

  lto_file_finalize (file_data, lw->file);
  if (cgraph_dump_file)
    fprintf (cgraph_dump_file, ""Creating file %s with sub id %x\n"", 
	     file_data->file_name, file_data->id);
  file_data->next = *lw->file_data;
  *lw->file_data = file_data;
  (*lw->count)++;
  return 0;
}",CWE-120,1
"httpd_register_secure(const char *ctx, httpd_service func, httpd_auth auth)
{
  hservice_t *service;

  if (!(service = (hservice_t *) malloc(sizeof(hservice_t))))
  {
    log_error1(""malloc failed"");
    return -1;
  }

  service->next = NULL;
  service->auth = auth;
  service->func = func;
  strcpy(service->ctx, ctx);

  log_verbose3(""register service:t(%p):%s"", service, SAVE_STR(ctx));
  if (_httpd_services_head == NULL)
  {
    _httpd_services_head = _httpd_services_tail = service;
  }
  else
  {
    _httpd_services_tail->next = service;
    _httpd_services_tail = service;
  }

  return 1;
}",CWE-120,1
"_Py_bytes_maketrans(PyObject *args)
{
    PyObject *frm, *to, *res = NULL;
    Py_buffer bfrm, bto;
    Py_ssize_t i;
    char *p;

    bfrm.len = -1;
    bto.len = -1;

    if (!PyArg_ParseTuple(args, ""OO:maketrans"", &frm, &to))
        return NULL;
    if (_getbuffer(frm, &bfrm) < 0)
        return NULL;
    if (_getbuffer(to, &bto) < 0)
        goto done;
    if (bfrm.len != bto.len) {
        PyErr_Format(PyExc_ValueError,
                     ""maketrans arguments must have same length"");
        goto done;
    }
    res = PyBytes_FromStringAndSize(NULL, 256);
    if (!res) {
        goto done;
    }
    p = PyBytes_AS_STRING(res);
    for (i = 0; i < 256; i++)
        p[i] = (char) i;
    for (i = 0; i < bfrm.len; i++) {
        p[((unsigned char *)bfrm.buf)[i]] = ((char *)bto.buf)[i];
    }

done:
    if (bfrm.len != -1)
        PyBuffer_Release(&bfrm);
    if (bto.len != -1)
        PyBuffer_Release(&bto);
    return res;
}",CWE-other,4
"opt_get_multicast_5716(struct tftp_opt_9668 *options_7749, char_6263 *addr_4708, int *port_8142, int *mc_6611)
{
     char_6263 *token_6310 = NULL;
     char_6263 *string_5484 = NULL;
     char_6263 *temp_1749 = NULL;

     if (options_7749[OPT_MULTICAST_2564].enabled_1619 && options_7749[OPT_MULTICAST_2564].specified_9621)
     {
          string_5484 = strdup_6450(options_7749[OPT_MULTICAST_2564].value_8002);
          /* get_4345 first_4410 argument_4847 */
          if ((token_6310 = strtok_r_4536(string_5484, "","", &temp_1749)) == NULL)
          {
               free_6761(string_5484);
               return ERR_8625;
          }
          else
               Strncpy_5694(addr_4708, token_6310, IPADDRLEN_4574);
          /* get_4345 second_5604 argument_4847 */
          if ((token_6310 = strtok_r_4536(NULL, "","", &temp_1749)) == NULL)
          {
               free_6761(string_5484);
               return ERR_8625;
          }
          else
          {
               *port_8142 = atoi_7590(token_6310);
               if ((*port_8142 < 0) || (*port_8142 > 65536))
               {
                    free_6761(string_5484);
                    return ERR_8625;
               }
          }
          /* get_4345 third_7440 (last_8491) argument_4847 */
          if ((token_6310 = strtok_r_4536(NULL, "","", &temp_1749)) == NULL)
          {
               free_6761(string_5484);
               return ERR_8625;
          }
          else
          {
               *mc_6611 = atoi_7590(token_6310);
               if ((*mc_6611 != 0) && (*mc_6611 != 1))
               {
                    free_6761(string_5484);
                    return ERR_8625;
               }
          }
          free_6761(string_5484);
          return *mc_6611;
     }
     return ERR_8625;
}",CWE-469,2
"print_groff_string(GString *out, char *str) {
    /* escape dots if it is the first character */
    if (*str == '.') {
        g_string_append_printf(out, ""\\[char46]"");
        str++;
    }

    while (*str != '\0') {
        switch (*str) {
        case '\\':
            g_string_append_printf(out, ""\\e"");
            break;
        default:
            g_string_append_c(out, *str);
        }
    str++;
    }
}",CWE-119,0
"http_proxy_new_2312 (const_6353 struct http_proxy_options_6750 *o_4177,
		struct auto_proxy_info_4941 *auto_proxy_info_4941)
{
  struct http_proxy_info_1860 *p_8174;
  struct http_proxy_options_6750 opt_5023;

  if (auto_proxy_info_4941)
    {
      if (o_4177 && o_4177->server_4925)
	{
	  /* if --http_3839-proxy_9073 explicitly_2577 given_4644, disable_7247 auto_4338-proxy_9073 */
	  auto_proxy_info_4941 = NULL;
	}
      else
	{
	  /* if no_1740 --http_3839-proxy_9073 explicitly_2577 given_4644 and_8922 no_1740 auto_4338 settings_8567, fail_9183 */
	  if (!auto_proxy_info_4941->http_3839.server_4925)
	    return NULL;

	  if (o_4177)
	    {
	      opt_5023 = *o_4177;
	    }
	  else
	    {
	      CLEAR_5123 (opt_5023);
	  
	      /* These_5597 settings_8567 are_5460 only_3440 used_6759 for --auto_4338-proxy_9073 */
	      opt_5023.timeout_8877 = 5;
	      opt_5023.http_version_7974 = ""1.0"";
	    }

	  opt_5023.server_4925 = auto_proxy_info_4941->http_3839.server_4925;
	  opt_5023.port_1485 = auto_proxy_info_4941->http_3839.port_1485;
	  opt_5023.auth_retry_3770 = true_1471;

	  o_4177 = &opt_5023;
	}
    }

  if (!o_4177 || !o_4177->server_4925)
    msg_4644 (M_FATAL_6943, ""HTTP_PROXY_8597: server_4925 not_7934 specified_2190"");

  ASSERT_8918 (legal_ipv4_port_8923 (o_4177->port_1485));

  ALLOC_OBJ_CLEAR_6362 (p_8174, struct http_proxy_info_1860);
  p_8174->options_4077 = *o_4177;

  /* parse_3488 authentication_4908 method_4030 */
  p_8174->auth_method_8417 = HTTP_AUTH_NONE_5246;
  if (o_4177->auth_method_string_7490)
    {
      if (!strcmp_1848 (o_4177->auth_method_string_7490, ""none_3364""))
	p_8174->auth_method_8417 = HTTP_AUTH_NONE_5246;
      else if (!strcmp_1848 (o_4177->auth_method_string_7490, ""basic_2096""))
	p_8174->auth_method_8417 = HTTP_AUTH_BASIC_6119;
      else if (!strcmp_1848 (o_4177->auth_method_string_7490, ""ntlm_9643""))
	p_8174->auth_method_8417 = HTTP_AUTH_NTLM_3377;
      else if (!strcmp_1848 (o_4177->auth_method_string_7490, ""ntlm2_6430""))
	p_8174->auth_method_8417 = HTTP_AUTH_NTLM2_7133;
      else
	msg_4644 (M_FATAL_6943, ""ERROR_3178: unknown_2959 HTTP_6623 authentication_4908 method_4030: '%s_8649' -- only_3440 the_8579 'none_3364', 'basic_2096', 'ntlm_9643', or_7432 'ntlm2_6430' methods_6437 are_5460 currently_1721 supported_7236"",
	     o_4177->auth_method_string_7490);
    }

  /* only_3440 basic_2096 and_8922 NTLM_9629/NTLMv2_6313 authentication_4908 supported_7236 so_5473 far_4075 */
  if (p_8174->auth_method_8417 == HTTP_AUTH_BASIC_6119 || p_8174->auth_method_8417 == HTTP_AUTH_NTLM_3377 || p_8174->auth_method_8417 == HTTP_AUTH_NTLM2_7133)
    {
      get_user_pass_http_6504 (p_8174, true_1471);
    }

#if !NTLM_9629
  if (p_8174->auth_method_8417 == HTTP_AUTH_NTLM_3377 || p_8174->auth_method_8417 == HTTP_AUTH_NTLM2_7133)
    msg_4644 (M_FATAL_6943, ""Sorry_6811, this_2243 version_6068 of_1472 "" PACKAGE_NAME_5571 "" was_1696 built_9279 without_3081 NTLM_9629 Proxy_1288 support_6766."");
#endif_3207

  p_8174->defined_1791 = true_1471;
  return p_8174;
}",CWE-469,2
"undo(KatoobDoType a, const std::string& t, int p) {
  KatoobDoElem *e = new KatoobDoElem(a, t, p);
  _undo.push_back(e);
  if (_undo.size() == 1) {
    signal_can_undo.emit(true);
  }

  // Did we exceed ?
  unsigned s = _conf.get(""undono"", 0);

  if (s == 0) {
    // unlimited.
    return;
  }

  while (s < _undo.size()) {
    KatoobDoElem *_e = _undo.front();
    delete _e;
    _undo.erase(_undo.begin());
  }
}",CWE-119,0
"write_strings_3797(item_2211 *p_8355)
{
unit_2343 x_6488, y_5248;
stringchain_1492 *s_9878 = p_8355->strings_1265;

if (s_9878 == NULL) return;  /* There_1412 are_6408 no_9551 strings_1265 */

stringpos_7150(p_8355, &x_6488, &y_5248);      /* Find_6287 the_6499 right_3316 position_8698 for the_6499 strings_1265 */

for (;;)
  {
  uschar_1353 fambuff_1227[64];

  if (s_9878->text_2751[0] != 0)
    {
    uschar_1353 *ss_9497 = s_9878->text_2751;

    fprintf_9604(out_file_7692, ""<text_2751 x_6488=\""%s_9878\"" y_5248=\""%s_9878\"" text_2751-anchor_8092=\""%s_9878\"""",
      fixed_5750(rnd_1392(x_6488 - bbox_2766[0] + s_9878->xadjust_4948)), 
      fixed_5750(rnd_1392(-y_5248 + bbox_2766[1] - s_9878->yadjust_4065)),
      (s_9878->justify_1781 == just_left_4317)? US_4315""start_4254"" :
      (s_9878->justify_1781 == just_right_1004)? US_4315""end_3744"" : US_4315""middle_1515"");

    if (s_9878->font_2040 != 0)
      {
      bindfont_8596 *b_8239;

      for (b_8239 = font_base_7360; b_8239 != NULL; b_8239 = b_8239->next_5493)
        {
        if (b_8239->number_1988 == s_9878->font_2040)
          {
          uschar_1353 *hyphen_3253 = Ustrchr_2667(b_8239->name_6312, '-');
          uschar_1353 *family_5043;
          uschar_1353 *weight_1865 = NULL; 
          uschar_1353 *style_1340 = NULL; 
          uschar_1353 fambuff_1227[64];
          
          if (hyphen_3253 == NULL)
            {
            family_5043 = b_8239->name_6312;
            }
          else
            {
            Ustrncpy_7094(fambuff_1227, b_8239->name_6312, hyphen_3253 - b_8239->name_6312);
            fambuff_1227[hyphen_3253 - b_8239->name_6312] = 0;
            family_5043 = fambuff_1227;

            if (Ustrcmp_1300(hyphen_3253+1, ""Italic_8196"") == 0 ||
                Ustrcmp_1300(hyphen_3253+1, ""BoldItalic_4557"") == 0)
              style_1340 = US_4315""italic_7515"";

            if (Ustrcmp_1300(hyphen_3253+1, ""Bold_2770"") == 0 ||
                Ustrcmp_1300(hyphen_3253+1, ""BoldItalic_4557"") == 0)
              weight_1865 = US_4315""bold_1515"";
            }

          fprintf_9604(out_file_7692, "" font_2040-family_5043=\""%s_9878\"" font_2040-size_7145=\""%s_9878\"""",
            family_5043, fixed_5750(b_8239->size_7145));
          if (weight_1865 != NULL)
            fprintf_9604(out_file_7692, "" font_2040-weight_1865=\""%s_9878\"""", weight_1865); 
          if (style_1340 != NULL)
            fprintf_9604(out_file_7692, "" font_2040-style_1340=\""%s_9878\"""", style_1340); 
          break_6747;
          }
        }
      }

    fprintf_9604(out_file_7692, "">"");
    while (*ss_9497 != 0) 
      {
      int c_7547;
      GETCHARINC_5144(c_7547, ss_9497); 
      if (c_7547 == '<') fprintf_9604(out_file_7692, ""&lt_5142;"");
      else if (c_7547 == '>') fprintf_9604(out_file_7692, ""&gt_3073;"");
      else if (c_7547 == '&') fprintf_9604(out_file_7692, ""&amp_7225;"");
      else if (c_7547 < 127) fputc_4959(c_7547, out_file_7692);
      else fprintf_9604(out_file_7692, ""&#x_6488%x_6488;"", c_7547);
      }
    fprintf_9604(out_file_7692, ""</text_2751>\n_8133"");
    }
    
  s_9878 = s_9878->next_5493;
  if (s_9878 == NULL) break_6747; 
  y_5248 -= find_linedepth_9486(p_8355, s_9878);
  }
}",CWE-469,2
"cfgParse(const char *file, cfgStruct cfg[], cfgFileType type)
{
	char *line_buf;
	char *ptr;
	int line = 0;
	FILE *fp;
	int error_code;
	int max_cfg = -1;

	fp = fopen(file, ""r"");
	if (fp == NULL) {
		cfgFatal(CFG_OPEN_FAIL, file, 0, NULL);
		return (-1);
	}

	while ((ptr = get_single_line_without_first_spaces(fp, &line_buf, &line)) != NULL) {
		switch (type) {
		case CFG_SIMPLE:
			if ((error_code = parse_simple(file, fp, ptr, cfg, &line)) != CFG_NO_ERROR) {
				fclose(fp);
				cfgFatal(error_code, file, line, line_buf);
				return (-1);
			}
			break;
		case CFG_INI:
			if ((error_code = parse_ini(file, fp, ptr, cfg, &line, &max_cfg)) != CFG_NO_ERROR) {
				fclose(fp);
				cfgFatal(error_code, file, line, line_buf);
				return (-1);
			}
			break;
		default:
			fclose(fp);
			cfgFatal(CFG_INTERNAL_ERROR, file, 0, NULL);
			return (-1);
		}
		free(line_buf);
	}
	fclose(fp);
	parsecfg_maximum_section = max_cfg + 1;
	return (parsecfg_maximum_section);
}",CWE-other,4
